d_mean,d_std,a_abs,a_std,d_diff,v_abs,ttc_mean,label,sigma_opt
0.17749,0.000968,0.00887,0.010552,0.0015,0.00272,15.0,APPROCHE,0.1
0.10056433224929363,0.06049193750272764,0.007560988496154507,0.01327816646563229,0.014714801756931385,0.1071539488487269,15.0,ÉLOIGNEMENT,5.0
0.11930535662375338,0.059245166148730696,0.010963753467741692,0.018131723142838122,0.01619629781837906,0.11896004158682179,14.744350591011214,ÉLOIGNEMENT,5.0
0.19075,0.004453,0.01147,0.015544,0.0011,0.00325,15.0,STATIONNAIRE,0.1
0.100165,0.004702,0.010035,0.011755,0.0031,0.02509,15.0,STATIONNAIRE,1.0
0.20157,0.010681,0.008985,0.011011,0.0199,0.021785,9.6516,APPROCHE,1.0
0.13257,0.013585,0.00772,0.010042,0.0036,0.039185,5.5791,APPROCHE,1.0
0.18099,0.000104,0.01162,0.012953,0.0001,0.000615,15.0,STATIONNAIRE,0.1
0.180065,0.000859,0.01091,0.012304,0.0003,0.003405,15.0,STATIONNAIRE,0.1
0.09850311625725627,0.04560355185319373,0.008982299853315423,0.0128315458443692,0.005699758647227391,0.09385286611458446,0.1332778826348865,COLLISION RISK,5.0
0.04125183275061576,0.012431604786809512,0.007494586211429947,0.008396629860486282,0.0006548124913999462,0.06678255387741895,0.7139317477786439,COLLISION RISK,2.5
0.134805,0.014253,0.00856,0.011182,0.0036,0.039675,5.2487,APPROCHE,1.0
0.03086,0.003341,0.01361,0.019323,0.0019,0.013405,15.0,COLLISION RISK,0.1
0.19103,0.00642,0.011105,0.01279,0.003,0.036135,15.0,ÉLOIGNEMENT,1.0
0.16287247603145197,0.023215840081524997,0.007997015491373447,0.009532814165544967,0.006033800033890165,0.07900923662191771,14.514192417740292,ÉLOIGNEMENT,2.5
0.204065,0.008937,0.009865,0.011174,0.0049,0.061615,15.0,ÉLOIGNEMENT,1.0
0.09965,0.012333,0.01024,0.015094,0.0132,0.021675,15.0,ÉLOIGNEMENT,1.0
0.10970807793265175,0.05701442476778956,0.011807712411689807,0.008900923077676759,0.021878533989278193,0.11514171934281765,15.0,ÉLOIGNEMENT,5.0
0.163285,0.013165,0.012955,0.015106,0.0043,0.038805,14.7316,APPROCHE,1.0
0.06234629674595663,0.046985591570320305,0.024785463313988797,0.058802880052133424,0.009297031220456903,0.12145627784943135,0.0,COLLISION RISK,5.0
0.13513,0.023893,0.010435,0.012248,0.006,0.04634,15.0,ÉLOIGNEMENT,2.5
0.18587,0.002496,0.0112,0.0143,0.0006,0.00212,15.0,STATIONNAIRE,0.1
0.07880712337203434,0.03240016659813911,0.010761621957526744,0.009956359650747511,0.011864302294154895,0.08965440877388078,0.8160132163840463,COLLISION RISK,2.5
0.11496568688800632,0.04395241489700897,0.010486188999127607,0.01015182237963019,0.01121857110247061,0.0927725430685013,0.0350451548809354,COLLISION RISK,5.0
0.15473750928499483,0.025095780131880664,0.016955555898384343,0.01601488401667381,0.012307821455326677,0.06714178907439064,14.725704965284661,ÉLOIGNEMENT,2.5
0.15035205904704319,0.026250957377849868,0.050695136838630174,0.14546384996994405,0.005342023861296202,0.05729101979345557,0.6408562931236647,COLLISION RISK,5.0
0.11023027419414476,0.05323570819776073,0.025460201151596817,0.060615401014684475,0.02125070304810892,0.09913082017010923,0.6845471930139322,COLLISION RISK,5.0
0.131185,0.051154,0.010355,0.013277,0.0122,0.109375,1.394,APPROCHE,5.0
0.13920251311929885,0.033819804948996585,0.005403047720839901,0.008780257768042022,0.017729870254419508,0.07595588989324664,15.0,ÉLOIGNEMENT,2.5
0.1299592573183007,0.044815305647694065,0.024954198864312653,0.06001170903854196,0.017921011712335174,0.07843003991570967,0.5895794639662919,COLLISION RISK,5.0
0.202245,0.009972,0.008325,0.010606,0.0199,0.02297,10.1604,APPROCHE,1.0
0.1509223039857705,0.04682253362938914,0.007076259748916146,0.013087004972439701,0.035662643045478414,0.10124029841641309,0.9809163544932096,COLLISION RISK,5.0
0.09744998545432082,0.0539230830460813,0.01196383233322064,0.015747110174768684,0.018769845865051895,0.10271665228754989,14.823212721098317,ÉLOIGNEMENT,5.0
0.17981,0.000716,0.01127,0.012644,0.0003,0.00307,15.0,STATIONNAIRE,0.1
0.15415,0.015942,0.00859,0.010821,0.0055,0.03457,1.9966,APPROCHE,1.0
0.181195,0.000213,0.00853,0.010273,0.0001,0.001315,15.0,STATIONNAIRE,0.1
0.155785,0.016815,0.011225,0.01286,0.005,0.044895,15.0,ÉLOIGNEMENT,1.0
0.1628896093401789,0.025564792930542944,0.007649487275159286,0.010783230235585157,0.009342828780563826,0.08043153598200774,14.695940291096832,ÉLOIGNEMENT,2.5
0.19459,0.002348,0.010085,0.01224,0.0018,0.025655,15.0,STATIONNAIRE,1.0
0.15890893976288983,0.03976069289057678,0.012947340486993919,0.015544705528985722,0.026162126206922376,0.11644404016959284,15.0,ÉLOIGNEMENT,5.0
0.089685,0.011184,0.01127,0.014237,0.0036,0.033565,15.0,ÉLOIGNEMENT,1.0
0.185685,0.010307,0.00662,0.007485,0.0329,0.02286,2.0881,APPROCHE,1.0
0.180965,0.000427,0.01067,0.015201,0.0002,0.001035,15.0,STATIONNAIRE,0.1
0.19474,0.011328,0.008875,0.011005,0.0023,0.009285,14.0714,APPROCHE,1.0
0.203305,0.005466,0.009375,0.011253,0.0011,0.011495,15.0,STATIONNAIRE,0.1
0.1325758254344813,0.04320442310180999,0.010818418414518503,0.010349748734807237,0.022375227708966106,0.07630024258723846,0.6935457898592868,COLLISION RISK,2.5
